"ID","Epic","Feature","User Story 1","User Story 2","Priority","Owner","Best (min)","Optimal (min)","Worst (min)"
"PBI-001","E1","Account registration","As a new user, I can create an account.","As a new user, I can choose my role during sign-up.","Must","apps/web-frontend + identity-consent-service",480,720,1080
"PBI-002","E1","Secure sign-in","As a user, I can log in with valid credentials.","As a user, I get clear error messages for failed login.","Must","apps/web-frontend + identity-consent-service",480,720,1080
"PBI-003","E1","Session control","As a user, I stay logged in safely while active.","As a user, I can log out from any page.","Must","apps/web-frontend",360,540,840
"PBI-004","E2","Consent preferences","As a data subject, I can select what data can be shared.","As a data subject, I can set how long sharing is allowed.","Must","apps/identity-consent-service",600,900,1320
"PBI-005","E2","Access permission checks","As an admin, I can enforce role-based access.","As an admin, I can enforce purpose-based access checks.","Must","apps/identity-consent-service",720,1080,1560
"PBI-006","E2","Consent cancellation","As a privacy officer, I can revoke consent immediately.","As a privacy officer, I can block new access after revocation.","Must","apps/identity-consent-service + apps/integration-service",720,1080,1680
"PBI-007","E3","Combined profile page","As a clinician, I can view clinical and work context together.","As an HR manager, I can view the same profile with allowed fields.","Must","apps/profile-case-service",720,1080,1560
"PBI-008","E3","Case status tracking","As a coordinator, I can create a case record.","As a coordinator, I can move a case from intake to closure.","Must","apps/profile-case-service",900,1320,1920
"PBI-009","E3","Case event timeline","As a user, I can view key events in time order.","As a user, I can filter timeline events by type.","Should","apps/profile-case-service + apps/web-frontend",720,1080,1680
"PBI-010","E4","Screening form submission","As an employee, I can submit screening answers.","As an employee, I can receive risk and severity results.","Must","apps/ai-screening-service",720,1080,1560
"PBI-011","E4","Clinician confirmation labels","As a clinician, I can submit confirmed labels.","As a clinician, I can override AI results with a reason.","Must","apps/ai-screening-service",600,900,1320
"PBI-012","E4","Pilot data export","As governance staff, I can export screening data.","As governance staff, I can export clinician label data in one file.","Must","apps/ai-screening-service",480,720,1080
"PBI-013","E4","Threshold adjustment","As calibration staff, I can change model thresholds.","As calibration staff, I can enforce minimum specificity rules.","Should","apps/ai-screening-service",600,900,1440
"PBI-014","E5","Accommodation planning","As an HR manager, I can create an accommodation plan.","As an HR manager, I can link plan items to clinical needs.","Must","apps/profile-case-service",720,1080,1560
"PBI-015","E5","Role requirement mapping","As HR, I can map job demands to cognitive requirements.","As HR, I can use this map for role-fit checks.","Must","apps/profile-case-service",720,1080,1560
